rect,prep,result,full,name
1,0.00000140000192914158,0.132889609999802,0.132891010001731,simple
2,0.00000061000027926639,0.146185560000049,0.146186170000328,simple
4,0.00000053999974625185,0.152800560000105,0.152801099999851,simple
8,0.00000052999967010692,0.187989350000134,0.187989879999805,simple
16,0.00000078999946708791,0.22712147000002,0.227122259999487,simple
32,0.00000054000120144337,0.352888440000061,0.352888980001262,simple
64,0.00000050000016926788,0.446019260000139,0.446019760000308,simple
128,0.00000059999947552569,0.872249320000083,0.872249919999558,simple
256,0.00000053999974625185,1.63397961999999,1.63398015999974,simple
512,0.00000056999924709089,3.1897762800003,3.18977684999954,simple
1024,0.00000037000063457526,6.28898581999965,6.28898619000029,simple
2048,0.00000056000135373324,12.7145463899999,12.7145469500012,simple
4096,0.00000055000054999255,25.0134171999998,25.0134177500004,simple
1,0.000596919999952661,0.178031689999625,0.178628609999578,map
2,0.000488849999965169,0.172870380000131,0.173359230000096,map
4,0.000391599999784376,0.153811370000039,0.154202969999824,map
8,0.000601270000333898,0.143074399999932,0.143675670000266,map
16,0.00128661999988253,0.145682220000344,0.146968840000227,map
32,0.00868605999967258,0.187645189999603,0.196331249999275,map
64,0.0576840500001708,0.139896300000328,0.197580350000499,map
128,0.382407209999656,0.157308530000046,0.539715739999701,map
256,3.65824792999974,0.161398619999818,3.81964654999956,map
512,33.2341859999995,0.171064639999713,33.4052506399992,map
1,0.000415689999863389,0.171650500000032,0.172066189999896,pers_tree
2,0.00139909000008629,0.149176810000245,0.150575900000331,pers_tree
4,0.000418420000096376,0.145794359999854,0.146212779999951,pers_tree
8,0.000658700000349199,0.152886059999764,0.153544760000113,pers_tree
16,0.000812770000084129,0.155679590000364,0.156492360000448,pers_tree
32,0.00218925000026502,0.182368369999676,0.184557619999941,pers_tree
64,0.00320538000014494,0.138915870000528,0.142121250000673,pers_tree
128,0.00628032999993593,0.140160470000046,0.146440799999982,pers_tree
256,0.0151584100001855,0.177332749999732,0.192491159999918,pers_tree
512,0.045572429999811,0.158730290000312,0.204302720000123,pers_tree
1024,0.1731044199998,0.182923109999683,0.356027529999483,pers_tree
2048,0.467725120000432,0.226259030000256,0.693984150000688,pers_tree
4096,1.29857377000008,0.23422301999999,1.53279679000007,pers_tree
